,Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year
310440,MIAEP,2017-02-21,16,Confirmed,8,2017
310447,MIAEP,2017-01-23,4,Cancelled,4,2017
310450,DNV,2017-02-14,3,Confirmed,7,2017
310459,DMN,2017-02-14,3,Cancelled,7,2017
310466,MIAAG,2017-01-25,2,Cancelled,4,2017
310476,ALX,2017-02-21,3,Confirmed,8,2017
310480,ALG,2017-02-14,5,Cancelled,7,2017
310487,ALG,2017-02-19,8,Cancelled,7,2017
310493,CMN,2017-02-03,5,Cancelled,5,2017
310494,BRC,2016-11-05,1,Cancelled,44,2016
310513,CHP,2017-02-16,2,Cancelled,7,2017
310518,CDL,2017-02-21,3,Confirmed,8,2017
310535,JRY,2017-02-21,4,Confirmed,8,2017
310536,JRY,2017-02-17,1,Confirmed,7,2017
310576,MAD,2017-02-21,1,Confirmed,8,2017
310599,GRG,2017-01-04,1,Cancelled,1,2017
310608,FAS,2017-02-21,3,Confirmed,8,2017
310641,HVZ,2017-02-20,1,Confirmed,8,2017
310654,HEL,2017-01-18,4,Confirmed,3,2017
310655,HEL,2017-02-21,6,Confirmed,8,2017
310661,PRP,2017-01-17,1,Confirmed,3,2017
310662,PRP,2017-02-13,3,Cancelled,7,2017
310664,PRP,2017-01-07,3,Confirmed,1,2017
310665,PLD,2017-01-14,3,Cancelled,2,2017
310666,PLD,2017-02-21,6,Confirmed,8,2017
310668,PXP,2017-01-06,2,Confirmed,1,2017
310672,PHP,2017-02-10,2,Cancelled,6,2017
310673,PHP,2017-02-17,2,Confirmed,7,2017
310679,PHM,2017-02-20,3,Confirmed,8,2017
310689,ONX,2017-02-20,2,Confirmed,8,2017
310690,SCH,2017-01-21,1,Confirmed,3,2017
310691,SCH,2017-01-07,1,Cancelled,1,2017
310710,PXP,2017-02-09,2,Cancelled,6,2017
310728,MPT,2017-02-14,3,Confirmed,7,2017
310782,SFOBC,2017-01-26,4,Cancelled,4,2017
310812,MIAVB,2017-02-18,1,Confirmed,7,2017
310815,MIAVB,2017-01-08,1,Confirmed,1,2017
310822,VPZ,2017-02-14,2,Confirmed,7,2017
310827,TPZ,2017-02-09,1,Confirmed,6,2017
310829,TPZ,2016-10-15,2,Cancelled,41,2016
310860,SEA,2017-02-12,2,Confirmed,6,2017
310861,SEA,2017-02-08,1,Cancelled,6,2017
310879,SLM,2017-02-15,7,Cancelled,7,2017
310888,SMN,2017-02-08,2,Cancelled,6,2017
310892,SLM,2017-02-10,1,Cancelled,6,2017
310896,MLW,2017-02-07,1,Cancelled,6,2017
310908,CNR,2017-02-17,2,Confirmed,7,2017
