,Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year
14512,NYCIK,2016-01-15,3,Confirmed,2,2016
14520,NYCIK,2016-02-29,6,Confirmed,9,2016
14605,NYCIK,2016-03-01,8,Confirmed,9,2016
14606,NYCIK,2016-02-22,7,Cancelled,8,2016
14643,MIASS,2016-03-01,44,Confirmed,9,2016
14667,MIASS,2016-02-28,35,Confirmed,8,2016
14676,SFODR,2016-03-01,11,Confirmed,9,2016
14759,NYCIK,2016-02-05,4,Confirmed,5,2016
14925,LAXWP,2016-02-28,7,Confirmed,8,2016
14933,MIASS,2016-03-02,22,Confirmed,9,2016
14938,MIASS,2016-02-27,10,Confirmed,8,2016
15224,LAXWP,2016-03-03,8,Confirmed,9,2016
15227,LAXWP,2016-02-09,3,Confirmed,6,2016
15275,MIASS,2016-03-03,22,Cancelled,9,2016
15356,SFODR,2016-02-22,7,Confirmed,8,2016
15638,NYCIK,2016-03-03,12,Cancelled,9,2016
15644,LAXWP,2016-02-16,3,Confirmed,7,2016
15652,NYCIK,2016-03-03,12,Confirmed,9,2016
15670,NYCIK,2016-02-03,6,Confirmed,5,2016
15719,MIASS,2016-03-03,22,Confirmed,9,2016
15859,SFODR,2016-02-10,10,Cancelled,6,2016
15860,SFODR,2016-03-04,5,Confirmed,9,2016
16288,LAXWP,2016-03-05,7,Confirmed,9,2016
16318,NYCIK,2016-03-04,7,Confirmed,9,2016
16321,NYCIK,2016-03-05,21,Confirmed,9,2016
16322,NYCIK,2016-03-05,21,Cancelled,9,2016
16326,LAXWP,2016-02-29,7,Cancelled,9,2016
16335,LAXWP,2016-02-25,4,Cancelled,8,2016
16598,SFODR,2016-02-27,7,Confirmed,8,2016
16600,SFODR,2016-03-02,11,Confirmed,9,2016
16602,NYCIK,2016-02-25,4,Confirmed,8,2016
16603,NYCIK,2016-03-02,5,Confirmed,9,2016
16881,NYCIK,2016-01-10,1,Cancelled,1,2016
17119,LAXWP,2016-02-24,11,Confirmed,8,2016
17169,MIASS,2016-03-06,18,Confirmed,9,2016
17176,MIASS,2016-03-04,21,Confirmed,9,2016
17178,MIASS,2016-03-05,19,Confirmed,9,2016
17200,MIASS,2016-02-17,10,Cancelled,7,2016
17203,MIASS,2016-02-24,22,Cancelled,8,2016
17757,MIASS,2016-02-14,19,Confirmed,6,2016
17856,SFODR,2016-02-28,7,Cancelled,8,2016
17857,SFODR,2016-02-24,17,Cancelled,8,2016
18031,NYCIK,2016-03-07,10,Confirmed,10,2016
18042,LAXWP,2016-03-06,9,Confirmed,9,2016
18044,LAXWP,2016-03-04,3,Confirmed,9,2016
18047,LAXWP,2016-03-01,3,Confirmed,9,2016
18257,MIASS,2016-03-07,16,Confirmed,10,2016
18262,MIASS,2016-03-01,44,Cancelled,9,2016
