Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year,month,,,Mnemonic Code
DENDM,1/16/2018,7,Confirmed,3,2018,1,,,
LAXGY,1/11/2018,3,Confirmed,2,2018,1,,,
DENBO,1/12/2018,5,Cancelled,2,2018,1,,,
AUSVZ,1/12/2018,5,Cancelled,2,2018,1,,,
BALMN,1/16/2018,2,Confirmed,3,2018,1,,,
BNAAE,1/15/2018,2,Confirmed,3,2018,1,,,
CLTKM,1/16/2018,7,Confirmed,3,2018,1,,,
MIAVB,1/15/2018,1,Confirmed,3,2018,1,,,
MIAVB,1/17/2018,3,Confirmed,3,2018,1,,,
PHLPM,1/17/2018,5,Confirmed,3,2018,1,,,
PDXPR,1/16/2018,2,Confirmed,3,2018,1,,,
PDXPR,1/16/2018,3,Cancelled,3,2018,1,,,
PDXPR,1/17/2018,2,Cancelled,3,2018,1,,,
PITHM,1/17/2018,2,Confirmed,3,2018,1,,,
WDCMA,1/18/2018,3,Confirmed,3,2018,1,,,
WDCMO,1/17/2018,5,Confirmed,3,2018,1,,,
WDCRG,1/13/2018,21,Cancelled,2,2018,1,,,
WDCRG,1/17/2018,2,Cancelled,3,2018,1,,,
WDCSV,1/17/2018,2,Confirmed,3,2018,1,,,
WDCTP,1/13/2018,34,Cancelled,2,2018,1,,,
WDCTP,1/17/2018,1,Confirmed,3,2018,1,,,
WDCTP,1/18/2018,1,Cancelled,3,2018,1,,,
WDCTP,1/18/2018,1,Confirmed,3,2018,1,,,
SBAGG,1/16/2018,2,Confirmed,3,2018,1,,,
SBAGG,1/17/2018,2,Confirmed,3,2018,1,,,
SBAGG,1/18/2018,2,Confirmed,3,2018,1,,,
SEAVP,1/15/2018,1,Confirmed,3,2018,1,,,
SLCSL,1/17/2018,5,Confirmed,3,2018,1,,,
SLCSL,1/11/2018,3,Confirmed,2,2018,1,,,
DENDM,1/17/2018,11,Confirmed,3,2018,1,,,
LAXGY,1/17/2018,2,Cancelled,3,2018,1,,,
LAXWE,1/13/2018,1,Cancelled,2,2018,1,,,
LAXWE,1/14/2018,1,Confirmed,2,2018,1,,,
LAXWE,1/17/2018,2,Confirmed,3,2018,1,,,
AUSVZ,1/16/2018,6,Confirmed,3,2018,1,,,
BALMN,1/13/2018,5,Cancelled,2,2018,1,,,
BALMN,1/17/2018,4,Confirmed,3,2018,1,,,
CLTKM,1/12/2018,5,Cancelled,2,2018,1,,,
CLTKM,1/15/2018,6,Cancelled,3,2018,1,,,
CLTKM,1/17/2018,6,Confirmed,3,2018,1,,,
CLTKM,1/18/2018,6,Confirmed,3,2018,1,,,
MIAVB,1/14/2018,1,Confirmed,2,2018,1,,,
NTCME,1/16/2018,25,Cancelled,3,2018,1,,,
NTCME,1/18/2018,31,Cancelled,3,2018,1,,,
NYCAA,1/18/2018,22,Cancelled,3,2018,1,,,
MKETJ,1/17/2018,2,Confirmed,3,2018,1,,,
MSPGR,1/14/2018,1,Cancelled,2,2018,1,,,
NTCME,1/15/2018,8,Cancelled,3,2018,1,,,
