,Mnemonic Code,Day of Confirmation Date,Bookings,Booking Status,Week_Number,year
33099,MIASS,2018-04-08,7,Confirmed,14,2018
33197,SFODR,2018-03-30,1,Cancelled,13,2018
33202,SFODR,2018-04-09,9,Confirmed,15,2018
33539,NYCIK,2018-03-27,1,Confirmed,13,2018
33847,LAXWP,2018-04-11,1,Confirmed,15,2018
33848,LAXWP,2018-04-09,2,Confirmed,15,2018
33849,LAXWP,2018-04-07,3,Cancelled,14,2018
34020,SFODR,2018-04-13,8,Confirmed,15,2018
34021,SFODR,2018-03-29,1,Cancelled,13,2018
34082,LAXWP,2018-04-06,2,Cancelled,14,2018
34083,LAXWP,2018-03-31,5,Confirmed,13,2018
34215,NYCIK,2018-03-21,1,Confirmed,12,2018
34218,NYCIK,2018-01-13,1,Cancelled,2,2018
34439,SFODR,2018-04-02,6,Confirmed,14,2018
34441,SFODR,2018-02-12,1,Cancelled,7,2018
34537,LAXWP,2018-04-10,1,Confirmed,15,2018
34712,MIASS,2018-04-10,3,Cancelled,15,2018
34713,MIASS,2018-04-10,4,Confirmed,15,2018
34715,MIASS,2018-04-09,4,Confirmed,15,2018
34717,MIASS,2018-03-21,5,Cancelled,12,2018
34725,MIASS,2018-04-11,3,Confirmed,15,2018
34757,NYCIK,2018-02-22,1,Confirmed,8,2018
35029,SFODR,2018-04-05,4,Confirmed,14,2018
35042,SFODR,2018-04-14,10,Confirmed,15,2018
35140,LAXWP,2018-03-24,1,Cancelled,12,2018
35141,LAXWP,2018-03-25,2,Cancelled,12,2018
35150,LAXWP,2018-04-14,3,Confirmed,15,2018
35348,MIASS,2018-04-12,3,Confirmed,15,2018
35357,MIASS,2018-04-08,4,Cancelled,14,2018
35393,NYCIK,2018-04-10,2,Confirmed,15,2018
35649,SFODR,2018-04-12,4,Cancelled,15,2018
35926,LAXWP,2018-04-16,3,Confirmed,16,2018
36071,SFODR,2018-04-16,11,Confirmed,16,2018
36157,SFODR,2018-04-17,5,Confirmed,16,2018
36159,SFODR,2018-04-16,3,Cancelled,16,2018
36177,SFODR,2018-04-15,10,Confirmed,15,2018
36403,LAXWP,2018-04-12,2,Confirmed,15,2018
36435,MIASS,2018-04-16,10,Confirmed,16,2018
36443,MIASS,2018-04-14,3,Cancelled,15,2018
36491,SFODR,2018-04-18,4,Confirmed,16,2018
36492,SFODR,2018-04-17,3,Cancelled,16,2018
36699,LAXWP,2018-04-05,2,Confirmed,14,2018
36701,LAXWP,2018-03-17,1,Confirmed,11,2018
36724,LAXWP,2018-04-08,2,Cancelled,14,2018
36880,NYCIK,2018-04-13,3,Confirmed,15,2018
36881,NYCIK,2018-03-13,3,Confirmed,11,2018
36903,SFODR,2018-03-27,4,Cancelled,13,2018
37130,LAXWP,2018-04-18,7,Confirmed,16,2018
37271,MIASS,2018-04-18,12,Confirmed,16,2018
37291,NYCIK,2018-04-11,3,Confirmed,15,2018
37296,NYCIK,2018-04-08,3,Confirmed,14,2018
